participantId,flatScreenParticipantPosComfortableX,flatScreenParticipantPosComfortableZ,flatScreenPosComfortableX,flatScreenPosComfortableZ,flatScreenScaleComfortableX,flatScreenScaleComfortableY,flatScreenScaleComfortableZ,flatScreenFontSizeComfortable,flatScreenDistanceToScreenComfortable,currentTextShownComfortable,flatScreenLineHeightComfortable,flatScreenAngularSizeComfortable,flatscreenDmmComfortable,flatScreenParticipantPosLineWidthX,flatScreenParticipantPosLineWidthZ,flatScreenDistanceToScreenLineWidth,flatScreenLineWidth,flatScreenAngularSizeLineWidth,flatScreenDMMLineWidth,flatScreenParticipantPosMinimumX,flatScreenParticipantPosMinimumZ,flatScreenPosMinimumX,flatScreenPosMinimumZ,flatScreenScaleMinimumX,flatScreenScaleMinimumY,flatScreenScaleMinimumZ,flatScreenFontSizeMinimum,flatScreenDistanceToScreenMinimum,currentTextShownMinimum,flatScreenLineHeightMinimum,flatScreenAngularSizeMinimum,flatscreenDmmMinimum,curvedScreenParticipantPosComfortableX,curvedScreenParticipantPosComfortableZ,curvedScreenPosComfortableX,curvedScreenPosComfortableZ,curvedScreenScaleComfortableX,curvedScreenScaleComfortableY,curvedScreenScaleComfortableZ,curvedScreenDistanceToScreenComfortable,curvedScreenLineWidthComfortable,curvedScreenLineHeightComfortable,curvedScreenAngularSizeComfortable,curvedscreenDmmComfortable,curvedScreenParticipantPosLineWidthX,curvedScreenParticipantPosLineWidthY,curvedScreenDistanceToScreenLineWidth,curvedScreenLineWidth,curvedScreenWidth,curvedScreenAngularSizeLineWidth,curvedScreenDMMLineWidth,curvedScreenParticipantPosMinimumX,curvedScreenParticipantPosMinimumZ,curvedScreenPosMinimumX,curvedScreenPosMinimumZ,curvedScreenScaleMinimumX,curvedScreenScaleMinimumY,curvedScreenScaleMinimumZ,curvedScreenDistanceToScreenMinimum,curvedScreenLineWidthMinimum,curvedScreenLineHeightMinimum,curvedScreenAngularSizeMinimum,curvedscreenDmmMinimum
0,-0.1086452,-0.1431286,0,3,1,1,1,0.7189858,3.143129,0,0.0827,1.507182,26.31136,-0.09711331,-0.1479368,3.147937,2.2,38.52243,698.8705,-0.2000378,-0.06076204,0,3,1,1,1,0.4342822,3.060762,0,0.0499,0.9340178,16.30313,-0.004754432,-0.01205072,0,0.1379935,0.9539942,0.9539942,0.9539942,3.012027,5,0.09539942,1.814113,31.67283,-0.1180194,0.0592922,2.940684,4.4,1.989917,37.38573,676.6851,-0.06648163,0.05251575,0,1.286999,0.5709991,0.5709991,0.5709991,2.94748,4.4,0.05709991,1.109821,19.37245
1,0.4987742,-0.2190728,0,3,1,1,1,0.5854174,3.219073,0,0.0673,1.197688,20.90664,0.5220842,-0.2347543,3.234754,1.2,21.01622,370.971,0.4208153,-0.2556381,0,3,1,1,1,0.4362055,3.255638,0,0.0502,0.8833967,15.4194,0.3906276,-0.240677,0,1.166998,0.6109986,0.6109986,0.6109986,3.24067,5,0.06109986,1.080131,18.85408,0.3808933,-0.2442317,3.244225,5,2.21984,37.77387,684.2437,0.3912224,-0.2550462,0,1.533,0.4890001,0.4890001,0.4890001,3.255047,5,0.04890002,0.86068,15.02283
2,0.07282352,0.1939589,0,3,1,1,1,0.5204268,2.806041,0,0.0598,1.220855,21.31116,0.102529,0.07425122,2.925749,2.2,41.20972,751.9443,0.1066193,0.03692736,0,3,1,1,1,0.4483694,2.963073,4,0.0516,0.9976683,17.41436,0.1137894,0.03652386,0,0.9989965,0.6669978,0.6669978,0.6669978,2.963466,5,0.06669979,1.289359,22.50736,0.1004202,0.04968074,2.950309,2.4,1.15919,22.22869,392.9044,0.1177357,0.03776935,0,1.761002,0.4130011,0.4130011,0.4130011,2.962236,2.4,0.04130011,0.7987781,13.94221
3,0.02551618,-0.009963696,0,3,1,1,1,0.6258859,3.009964,0,0.072,1.370285,23.92055,-0.004924636,-0.03477097,3.034771,1.4,25.97734,461.3199,0.009510625,-0.05861015,0,3,1,1,1,0.4548739,3.05861,0,0.0523,0.9796204,17.09927,-0.01297345,-0.04789782,0,0.6809943,0.7729965,0.7729965,0.7729965,3.047882,5,0.07729965,1.452811,25.36176,0.003507748,-0.03766833,3.037652,3.2,1.522772,28.14253,501.299,-0.003030669,-0.03034431,0,1.265998,0.577999,0.577999,0.577999,3.03034,3.2,0.0577999,1.092712,19.07374
4,-0.01179845,0.1008723,0,3,1,1,1,0.5994925,2.899128,0,0.0689,1.361422,23.76577,-0.02115343,0.09379148,2.906209,1.4,27.08503,481.7273,-0.02195382,0.08097716,0,3,1,1,1,0.3622282,2.919023,0,0.0417,0.8184491,14.2856,-0.01493342,0.08859695,0,0.9179959,0.6939975,0.6939975,0.6939975,2.911391,5,0.06939975,1.365519,23.83731,-0.03006671,0.08602063,2.913968,3.2,1.522772,29.28668,522.5768,-0.02563954,0.07894327,0,1.653001,0.4490007,0.4490007,0.4490007,2.92106,3.2,0.04490007,0.880633,15.37116
5,-0.1794145,0.1957426,0,3,1,1,1,0.5242885,2.804257,0,0.0603,1.231842,21.50302,-0.1941461,0.1860032,2.813997,1,20.15069,355.3664,-0.1841865,0.1738465,0,3,1,1,1,0.4127429,2.826154,0,0.0475,0.9628964,16.8073,-0.1886791,0.1663179,0,0.7469947,0.7509968,0.7509968,0.7509968,2.833667,5,0.07509968,1.518134,26.50265,-0.167122,0.153617,2.846368,3.2,1.522772,29.95131,534.9877,-0.1529814,0.1611725,0,1.307999,0.5639992,0.5639992,0.5639992,2.838824,3.2,0.05639992,1.138166,19.86736
6,-0.08467995,-0.5096154,0,3,1,1,1,0.6123042,3.509615,0,0.0704,1.149152,20.05918,-0.1163525,-0.4768108,3.476811,0.9,14.74947,258.8579,-0.1215526,-0.4592875,0,3,1,1,1,0.4135682,3.459287,0,0.0476,0.7883437,13.76006,-0.1144845,-0.4720509,0,0.5879936,0.8039961,0.8039961,0.8039961,3.472033,5,0.08039961,1.326524,23.15635,-0.04842097,-0.1509007,3.150882,3.8,1.769915,31.37588,561.7204,-0.08103535,-0.1225283,0,1.548,0.4840002,0.4840002,0.4840002,3.122529,3.8,0.04840002,0.8880285,15.50026
7,-0.178811,0.3119865,0,3,1,1,1,0.6659278,2.688014,0,0.0766,1.632309,28.49688,-0.1818823,0.3174933,2.682507,1.4,29.25037,521.8999,-0.187886,0.3152276,0,3,1,1,1,0.3705906,2.684772,0,0.0426,0.909051,15.86727,-0.2234802,0.3098867,0,0.8669956,0.7109973,0.7109973,0.7109973,2.690101,5,0.07109973,1.513983,26.43014,-0.1801938,0.3026407,2.697347,3.2,1.522772,31.52579,564.5444,-0.1741516,0.318672,0,1.44,0.5199997,0.5199997,0.5199997,2.681327,3.2,0.05199997,1.111019,19.39337
8,-0.007977933,0.0888813,0,3,1,1,1,0.5554658,2.911119,0,0.0639,1.257459,21.95033,-0.01384517,0.07495154,2.925048,1.2,23.18398,410.2496,-0.007379886,0.04848036,0,3,1,1,1,0.4397659,2.95152,0,0.0506,0.9821659,17.14371,-0.02426585,0.07576701,0,1.334999,0.5549993,0.5549993,0.5549993,2.92423,5,0.05549993,1.087305,18.97933,-0.02607722,0.07252909,2.927468,4.8,2.150405,40.33463,734.5615,-0.02178074,0.08419713,0,1.554,0.4820002,0.4820002,0.4820002,2.915804,4.8,0.04820002,0.9470481,16.53061
9,0.0008929521,0.1069892,0,3,1,1,1,0.5437195,2.893011,0,0.0625,1.237614,21.60379,-0.0002438016,0.1316197,2.86838,1.3,25.53617,453.2175,0.009462718,0.1556387,0,3,1,1,1,0.3273135,2.844361,0,0.0376,0.7573566,13.21914,-0.002842892,0.1451716,0,1.253998,0.5819989,0.5819989,0.5819989,2.854824,5,0.05819989,1.167899,20.38651,-0.0423581,0.1424879,2.857507,4.8,2.150405,41.23992,752.5458,-0.01954253,0.1548558,0,1.848002,0.3840015,0.3840015,0.3840015,2.845151,4.8,0.03840015,0.773257,13.4967
