participantId,flatScreenParticipantPosComfortableX,flatScreenParticipantPosComfortableZ,flatScreenPosComfortableX,flatScreenPosComfortableZ,flatScreenScaleComfortableX,flatScreenScaleComfortableY,flatScreenScaleComfortableZ,flatScreenFontSizeComfortable,flatScreenDistanceToScreenComfortable,currentTextShownComfortable,flatScreenLineHeightComfortable,flatScreenAngularSizeComfortable,flatscreenDmmComfortable,flatScreenParticipantPosLineWidthX,flatScreenParticipantPosLineWidthZ,flatScreenDistanceToScreenLineWidth,flatScreenLineWidth,flatScreenAngularSizeLineWidth,flatScreenDMMLineWidth,flatScreenParticipantPosMinimumX,flatScreenParticipantPosMinimumZ,flatScreenPosMinimumX,flatScreenPosMinimumZ,flatScreenScaleMinimumX,flatScreenScaleMinimumY,flatScreenScaleMinimumZ,flatScreenFontSizeMinimum,flatScreenDistanceToScreenMinimum,currentTextShownMinimum,flatScreenLineHeightMinimum,flatScreenAngularSizeMinimum,flatscreenDmmMinimum,curvedScreenParticipantPosComfortableX,curvedScreenParticipantPosComfortableZ,curvedScreenPosComfortableX,curvedScreenPosComfortableZ,curvedScreenScaleComfortableX,curvedScreenScaleComfortableY,curvedScreenScaleComfortableZ,curvedScreenDistanceToScreenComfortable,curvedScreenLineWidthComfortable,curvedScreenLineHeightComfortable,curvedScreenAngularSizeComfortable,curvedscreenDmmComfortable,curvedScreenParticipantPosLineWidthX,curvedScreenParticipantPosLineWidthY,curvedScreenDistanceToScreenLineWidth,curvedScreenLineWidth,curvedScreenWidth,curvedScreenAngularSizeLineWidth,curvedScreenDMMLineWidth,curvedScreenParticipantPosMinimumX,curvedScreenParticipantPosMinimumZ,curvedScreenPosMinimumX,curvedScreenPosMinimumZ,curvedScreenScaleMinimumX,curvedScreenScaleMinimumY,curvedScreenScaleMinimumZ,curvedScreenDistanceToScreenMinimum,curvedScreenLineWidthMinimum,curvedScreenLineHeightMinimum,curvedScreenAngularSizeMinimum,curvedscreenDmmMinimum
100,-0.01196897,0.01378933,0,3,1,1,1,0.514054,2.986211,0,0.0591,1.133791,19.79097,-0.0215045,0.01449707,2.985503,1.7,31.78428,569.4183,-0.02823579,0.02262225,0,3,1,1,1,0.2953836,2.977378,0,0.034,0.6542576,11.41945,-0.01849001,0.01944529,0,1.506,0.498,0.498,0.498,2.980555,5,0.0498,0.9572259,16.7083,-0.04561467,0.003458664,2.996542,5.2,2.28,41.65749,760.8771,-0.04642052,0.01623818,0,2.040004,0.3200023,0.3200023,0.3200023,2.983773,5.2,0.03200023,0.6144598,10.72476
101,-0.004536794,-0.2126589,0,3,1,1,1,0.5571949,3.212659,0,0.0641,1.143032,19.95232,-0.02499231,-0.2433612,3.243361,0.9,15.79814,277.4899,-0.03589345,-0.2263569,0,3,1,1,1,0.3430403,3.226357,0,0.0394,0.6996565,12.21192,-0.02532425,-0.2136065,0,0.7229946,0.7589967,0.7589967,0.7589967,3.213591,5,0.07589967,1.352979,23.61833,-0.03276473,-0.2264636,3.226448,4.4,1.989917,34.27699,616.7516,-0.04105789,-0.1861528,0,1.632001,0.4560006,0.4560006,0.4560006,3.186155,4.4,0.04560006,0.8199577,14.31194
102,0.02580015,-0.005378231,0,3,1,1,1,0.4123422,3.005378,0,0.0474,0.9035785,15.77173,0.01668093,-0.01062436,3.010624,1.2,22.54209,398.5884,0.01644371,-0.01271737,0,3,1,1,1,0.3458367,3.012717,0,0.0398,0.7568713,13.21067,0.002701126,-0.02392212,0,1.533,0.4890001,0.4890001,0.4890001,3.023923,5,0.04890002,0.9264523,16.17105,0.0164987,-0.0342415,3.034242,4.8,2.150405,39.02419,708.7123,0.01638257,-0.04111341,0,1.806002,0.3980013,0.3980013,0.3980013,3.04112,4.8,0.03980013,0.7498059,13.08733
103,0.1743211,0.2050584,0,3,1,1,1,0.5014126,2.794942,0,0.0577,1.182671,20.64444,0.1833514,0.2249824,2.775018,1.2,24.40079,432.4297,0.180758,0.2130437,0,3,1,1,1,0.4889305,2.786956,0,0.0562,1.155234,20.16537,0.1730806,0.2167666,0,0.2969936,0.9009948,0.9009948,0.9009948,2.783211,5,0.09009948,1.854159,32.37249,0.1649761,0.2126475,2.787331,4,1.832792,36.39883,657.5438,0.1644254,0.2163549,0,1.358999,0.5469994,0.5469994,0.5469994,2.783642,4,0.05469994,1.125745,19.65049
104,0.05671213,0.1440809,0,3,1,1,1,0.5001165,2.855919,0,0.0575,1.153416,20.13362,0.03412024,0.1638095,2.83619,2.4,45.86671,846.2054,-0.02522444,0.1127349,0,3,1,1,1,0.3660105,2.887265,0,0.0421,0.8353862,14.58127,0.06609569,0.1724892,0,1.046997,0.6509981,0.6509981,0.6509981,2.827502,5,0.06509981,1.318933,23.02379,-0.04449922,0.2076526,2.792338,6.8,2.703852,51.6684,968.311,-0.02336974,0.1782667,0,1.869003,0.3770016,0.3770016,0.3770016,2.821741,6.8,0.03770016,0.7654607,13.3606
105,0.1083777,0.01921676,0,3,1,1,1,0.548777,2.980783,0,0.0631,1.21271,21.16893,0.1107987,0.01297587,2.987024,1.1,20.866,368.2595,0.1123815,0.01484407,0,3,1,1,1,0.3947816,2.985156,0,0.0454,0.8713207,15.20859,0.1135259,0.03536329,0,1.175998,0.6079986,0.6079986,0.6079986,2.96463,5,0.06079986,1.174881,20.50841,0.1134952,0.03665601,2.963338,5.8,2.458574,45.06047,829.6638,0.1103999,0.04690232,0,1.479,0.5069999,0.5069999,0.5069999,2.953097,5.8,0.05069999,0.9835809,17.16841
106,-0.01034488,0.0819,0,3,1,1,1,0.5738245,2.9181,0,0.066,1.295664,22.61746,-0.004344593,0.07770862,2.922291,1.3,25.08011,444.8564,0.003167582,0.09527062,0,3,1,1,1,0.334565,2.904729,0,0.0385,0.7593679,13.25425,0.005286922,0.09779523,0,1.154998,0.6149985,0.6149985,0.6149985,2.902198,5,0.06149985,1.213961,21.19079,-0.01848654,0.1238753,2.876118,5,2.21984,42.20412,771.8183,0.01286149,0.0968277,0,1.791002,0.4030012,0.4030012,0.4030012,2.903178,5,0.04030013,0.7952936,13.88138
107,-0.1417542,-0.01190692,0,3,1,1,1,0.486775,3.011907,0,0.056,1.065171,18.59287,-0.1198137,0.0269611,2.973039,1.6,30.1214,538.1699,-0.09261219,0.3075062,0,3,1,1,1,0.2872007,2.692494,0,0.033,0.7021989,12.2563,-0.2520298,0.2079991,0,1.578001,0.4740003,0.4740003,0.4740003,2.792002,5,0.04740003,0.9726213,16.97708,-0.07638673,0.2998581,2.700143,4.2,1.92761,39.28762,713.8917,-0.1728595,0.3248257,0,1.875003,0.3750016,0.3750016,0.3750016,2.675182,4.2,0.03750016,0.8031082,14.0178
108,-0.1436311,0.1413546,0,3,1,1,1,0.5284688,2.858645,0,0.0608,1.21843,21.26881,-0.1319939,0.139421,2.860579,0.8,15.92032,279.6636,-0.1432398,0.144456,0,3,1,1,1,0.4446144,2.855544,0,0.0511,1.025199,17.89501,-0.1426097,0.1299966,0,1.085997,0.6379982,0.6379982,0.6379982,2.869995,5,0.06379982,1.273472,22.22994,-0.1471758,0.1218164,2.878175,1.8,0.8804595,17.39249,305.9089,-0.1400115,0.1254334,0,1.443,0.5189998,0.5189998,0.5189998,2.874565,1.8,0.05189998,1.034357,18.0549
109,0.01311668,0.3142888,0,3,1,1,1,0.5448866,2.685711,0,0.0627,1.337371,23.34577,0.01954141,0.3107388,2.689261,1.7,35.08057,632.1439,0.0005842857,0.3132823,0,3,1,1,1,0.3201354,2.686718,0,0.0368,0.7847318,13.69701,0.002748843,0.3158702,0,0.5189931,0.8269958,0.8269958,0.8269958,2.68411,5,0.08269959,1.764771,30.8108,0.03201278,0.2815142,2.718467,3.4,1.604905,32.8917,590.3716,0.004214287,0.1234334,0,1.809002,0.3970014,0.3970014,0.3970014,2.876573,3.4,0.03970014,0.7907,13.80119
