Line, characterCount, spaceCount, wordCount
0, 50, 8, 8
1, 50, 10, 10
2, 54, 10, 10
3, 51, 8, 8
4, 49, 7, 7
5, 53, 10, 10
6, 57, 5, 5
7, 51, 7, 7
8, 44, 7, 7
9, 51, 7, 7
10, 53, 9, 9
11, 48, 9, 9
12, 47, 7, 7
13, 49, 7, 8
0, 61, 11, 11
1, 58, 11, 11
2, 58, 10, 10
3, 55, 7, 7
4, 60, 11, 11
5, 62, 7, 7
6, 61, 8, 8
7, 57, 9, 9
8, 60, 8, 8
9, 57, 11, 11
10, 59, 10, 10
11, 61, 9, 9
12, 56, 11, 11
13, 61, 8, 8
14, 62, 9, 9
15, 56, 9, 10
0, 132, 24, 24
1, 136, 21, 21
2, 143, 19, 19
3, 130, 20, 20
4, 133, 22, 22
5, 133, 22, 22
6, 133, 21, 21
7, 134, 23, 23
8, 139, 25, 25
9, 128, 18, 18
10, 84, 12, 13
0, 167, 30, 30
1, 166, 25, 25
2, 171, 23, 23
3, 170, 28, 28
4, 169, 28, 28
5, 165, 27, 27
6, 180, 32, 32
7, 167, 25, 25
8, 70, 9, 10
